SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S400,XC3S400_TYPE,XC3S1000,XC3S1000_TYPE,XC3S1500,XC3S1500_TYPE,BANK
U,7,U7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
U,8,U8,VCCO_5,VCCO,VCCO_5,VCCO,VCCO_5,VCCO,5
U,9,U9,IO_L31N_5/D4,DUAL,IO_L31N_5/D4,DUAL,IO_L31N_5/D4,DUAL,5
U,10,U10,IO_L31N_4/INIT_B,DUAL,IO_L31N_4/INIT_B,DUAL,IO_L31N_4/INIT_B,DUAL,4
U,11,U11,VCCO_4,VCCO,VCCO_4,VCCO,VCCO_4,VCCO,4
U,12,U12,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,N/A
U,13,U13,IO/VREF_4,VREF,IO/VREF_4,VREF,IO/VREF_4,VREF,4
U,14,U14,IO_L10P_4,I/O,IO_L10P_4,I/O,IO_L10P_4,I/O,4
U,15,U15,IO_L09N_4,I/O,IO_L09N_4,I/O,IO_L09N_4,I/O,4
U,16,U16,IO_L01N_4/VRP_4,DCI,IO_L01N_4/VRP_4,DCI,IO_L01N_4/VRP_4,DCI,4
U,17,U17,GND,GND,GND,GND,GND,GND,N/A
U,18,U18,IO_L16P_3,I/O,IO_L16P_3,I/O,IO_L16P_3,I/O,3
V,1,V1,GND,GND,GND,GND,GND,GND,N/A
V,2,V2,IO_L01P_5/CS_B,DUAL,IO_L01P_5/CS_B,DUAL,IO_L01P_5/CS_B,DUAL,5
V,3,V3,IO_L01N_5/RDWR_B,DUAL,IO_L01N_5/RDWR_B,DUAL,IO_L01N_5/RDWR_B,DUAL,5
V,4,V4,IO_L10N_5/VRP_5,DCI,IO_L10N_5/VRP_5,DCI,IO_L10N_5/VRP_5,DCI,5
V,5,V5,IO_L16N_5,I/O,IO_L16N_5,I/O,IO_L16N_5,I/O,5
V,6,V6,GND,GND,GND,GND,GND,GND,N/A
V,7,V7,IO_L29P_5/VREF_5,VREF,IO_L29P_5/VREF_5,VREF,IO_L29P_5/VREF_5,VREF,5
V,8,V8,IO_L29N_5,I/O,IO_L29N_5,I/O,IO_L29N_5,I/O,5
V,9,V9,IO_L31P_5/D5,DUAL,IO_L31P_5/D5,DUAL,IO_L31P_5/D5,DUAL,5
V,10,V10,IO_L31P_4/DOUT/BUSY,DUAL,IO_L31P_4/DOUT/BUSY,DUAL,IO_L31P_4/DOUT/BUSY,DUAL,4
V,11,V11,IO_L28P_4,I/O,IO_L28P_4,I/O,IO_L28P_4,I/O,4
V,12,V12,IO_L28N_4,I/O,IO_L28N_4,I/O,IO_L28N_4,I/O,4
V,13,V13,GND,GND,GND,GND,GND,GND,N/A
V,14,V14,IO,I/O,IO,I/O,IO,I/O,4
V,15,V15,IO_L09P_4,I/O,IO_L09P_4,I/O,IO_L09P_4,I/O,4
V,16,V16,IO_L01P_4/VRN_4,DCI,IO_L01P_4/VRN_4,DCI,IO_L01P_4/VRN_4,DCI,4
V,17,V17,IO/VREF_4,VREF,IO/VREF_4,VREF,IO/VREF_4,VREF,4
V,18,V18,GND,GND,GND,GND,GND,GND,N/A
