PIN,XC3SD1800AFG676_PIN,XC3SD1800AFG676_BANK,TYPE,DIFF_PAIR,ROW,ROW_#,COLUMN
N20,IO_L42P_1/A16,1,DUAL,TRUE,N,13,20
N21,IO_L37N_1,1,I/O,TRUE,N,13,21
N22,VCCO_1,1,VCCO,,N,13,22
N23,IP_L36N_1,1,INPUT,TRUE,N,13,23
N24,IO_L33N_1/RHCLK5,1,RHCLK,TRUE,N,13,24
N25,IP_L32N_1,1,INPUT,TRUE,N,13,25
N26,IP_L32P_1,1,INPUT,TRUE,N,13,26
P1,IO_L33P_3/LHCLK2,3,LHCLK,TRUE,P,14,1
P2,IO_L33N_3/IRDY2/LHCLK3,3,LHCLK,TRUE,P,14,2
P3,IO_L34N_3/LHCLK5,3,LHCLK,TRUE,P,14,3
P4,IO_L34P_3/LHCLK4,3,LHCLK,TRUE,P,14,4
P5,VCCO_3,3,VCCO,,P,14,5
P6,IO_L39N_3,3,I/O,TRUE,P,14,6
P7,IO_L39P_3,3,I/O,TRUE,P,14,7
P8,IO_L41P_3,3,I/O,TRUE,P,14,8
P9,IO_L41N_3,3,I/O,TRUE,P,14,9
P10,IO_L35N_3/LHCLK7,3,LHCLK,TRUE,P,14,10
P11,VCCINT,VCCINT,VCCINT,,P,14,11
P12,GND,GND,GND,,P,14,12
P13,VCCINT,VCCINT,VCCINT,,P,14,13
P14,VCCINT,VCCINT,VCCINT,,P,14,14
P15,VCCINT,VCCINT,VCCINT,,P,14,15
P16,GND,GND,GND,,P,14,16
P17,VCCAUX,VCCAUX,VCCAUX,,P,14,17
P18,IO_L34P_1/IRDY1/RHCLK6,1,RHCLK,TRUE,P,14,18
P19,GND,GND,GND,,P,14,19
P20,IO_L30N_1/RHCLK1,1,RHCLK,TRUE,P,14,20
P21,IO_L30P_1/RHCLK0,1,RHCLK,TRUE,P,14,21
P22,IO_L37P_1,1,I/O,TRUE,P,14,22
P23,IO_L33P_1/RHCLK4,1,RHCLK,TRUE,P,14,23
P24,GND,GND,GND,,P,14,24
P25,IO_L31N_1/TRDY1/RHCLK3,1,RHCLK,TRUE,P,14,25
P26,IO_L31P_1/RHCLK2,1,RHCLK,TRUE,P,14,26
R1,IO_L36P_3/VREF_3,3,VREF,TRUE,R,15,1
R2,IO_L36N_3,3,I/O,TRUE,R,15,2
R3,IO_L37P_3,3,I/O,TRUE,R,15,3
R4,IO_L37N_3,3,I/O,TRUE,R,15,4
R5,IO_L40P_3,3,I/O,TRUE,R,15,5
R6,IO_L40N_3,3,I/O,TRUE,R,15,6
R7,IO_L45N_3,3,I/O,TRUE,R,15,7
R8,IO_L45P_3,3,I/O,TRUE,R,15,8
R9,IO_L43N_3,3,I/O,TRUE,R,15,9
R10,IO_L43P_3/VREF_3,3,VREF,TRUE,R,15,10
R11,GND,GND,GND,,R,15,11
R12,VCCINT,VCCINT,VCCINT,,R,15,12
R13,GND,GND,GND,,R,15,13
R14,VCCINT,VCCINT,VCCINT,,R,15,14
R15,GND,GND,GND,,R,15,15
R16,VCCINT,VCCINT,VCCINT,,R,15,16
R17,IO_L27N_1/A7,1,DUAL,TRUE,R,15,17
R18,IO_L27P_1/A6,1,DUAL,TRUE,R,15,18
R19,IO_L22P_1,1,I/O,TRUE,R,15,19
R20,IO_L22N_1,1,I/O,TRUE,R,15,20
R21,IO_L25P_1/A2,1,DUAL,TRUE,R,15,21
R22,IO_L25N_1/A3,1,DUAL,TRUE,R,15,22
R23,IP_L28P_1/VREF_1,1,VREF,TRUE,R,15,23
R24,IP_L28N_1,1,INPUT,TRUE,R,15,24
R25,IO_L29P_1/A8,1,DUAL,TRUE,R,15,25
R26,IO_L29N_1/A9,1,DUAL,TRUE,R,15,26
T1,GND,GND,GND,,T,16,1
T2,VCCO_3,3,VCCO,,T,16,2
T3,IO_L38P_3,3,I/O,TRUE,T,16,3
T4,IO_L38N_3,3,I/O,TRUE,T,16,4
T5,IO_L42P_3,3,I/O,TRUE,T,16,5
T6,GND,GND,GND,,T,16,6
T7,IO_L51P_3,3,I/O,TRUE,T,16,7
T8,VCCO_3,3,VCCO,,T,16,8
T9,IO_L48N_3,3,I/O,TRUE,T,16,9
T10,IO_L48P_3,3,I/O,TRUE,T,16,10
T11,VCCINT,VCCINT,VCCINT,,T,16,11
T12,GND,GND,GND,,T,16,12
T13,VCCINT,VCCINT,VCCINT,,T,16,13
T14,GND,GND,GND,,T,16,14
T15,VCCINT,VCCINT,VCCINT,,T,16,15
T16,GND,GND,GND,,T,16,16
T17,IO_L17N_1,1,I/O,TRUE,T,16,17
T18,IO_L17P_1,1,I/O,TRUE,T,16,18
T19,VCCO_1,1,VCCO,,T,16,19
T20,IO_L14N_1,1,I/O,TRUE,T,16,20
T21,GND,GND,GND,,T,16,21
T22,VCCAUX,VCCAUX,VCCAUX,,T,16,22
T23,IO_L26P_1/A4,1,DUAL,TRUE,T,16,23
T24,IO_L26N_1/A5,1,DUAL,TRUE,T,16,24
T25,VCCO_1,1,VCCO,,T,16,25
T26,GND,GND,GND,,T,16,26
U1,IO_L44P_3,3,I/O,TRUE,U,17,1
U2,IO_L44N_3,3,I/O,TRUE,U,17,2
U3,IP_L46P_3,3,INPUT,TRUE,U,17,3
U4,IO_L42N_3,3,I/O,TRUE,U,17,4
U5,IO_L49P_3,3,I/O,TRUE,U,17,5
U6,IO_L51N_3,3,I/O,TRUE,U,17,6
U7,IO_L56P_3,3,I/O,TRUE,U,17,7
U8,IO_L56N_3,3,I/O,TRUE,U,17,8
U9,IO_L61P_3,3,I/O,TRUE,U,17,9
U10,GND,GND,GND,,U,17,10
U11,IO_L13N_2,2,I/O,TRUE,U,17,11
U12,VCCINT,VCCINT,VCCINT,,U,17,12
U13,GND,GND,GND,,U,17,13
U14,VCCAUX,VCCAUX,VCCAUX,,U,17,14
U15,IO_L35N_2,2,I/O,TRUE,U,17,15
U16,IO_L42N_2,2,I/O,TRUE,U,17,16
U17,GND,GND,GND,,U,17,17
U18,IO_L12N_1,1,I/O,TRUE,U,17,18
U19,IO_L12P_1,1,I/O,TRUE,U,17,19
U20,IO_L10N_1,1,I/O,TRUE,U,17,20
U21,IO_L14P_1,1,I/O,TRUE,U,17,21
U22,IO_L21N_1,1,I/O,TRUE,U,17,22
U23,IO_L23P_1,1,I/O,TRUE,U,17,23
U24,IO_L23N_1/VREF_1,1,VREF,TRUE,U,17,24
U25,IP_L24P_1,1,INPUT,TRUE,U,17,25
U26,IP_L24N_1/VREF_1,1,VREF,TRUE,U,17,26
V1,IO_L47P_3,3,I/O,TRUE,V,18,1
V2,IO_L47N_3,3,I/O,TRUE,V,18,2
V3,GND,GND,GND,,V,18,3
V4,IP_L46N_3,3,INPUT,TRUE,V,18,4
V5,IO_L49N_3,3,I/O,TRUE,V,18,5
V6,IO_L59N_3,3,I/O,TRUE,V,18,6
V7,IO_L59P_3,3,I/O,TRUE,V,18,7
V8,IO_L61N_3,3,I/O,TRUE,V,18,8
V9,VCCAUX,VCCAUX,VCCAUX,,V,18,9
V10,IO_L09P_2,2,I/O,TRUE,V,18,10
V11,IO_L13P_2,2,I/O,TRUE,V,18,11
V12,IO_L16P_2,2,I/O,TRUE,V,18,12
V13,IO_L20P_2,2,I/O,TRUE,V,18,13
V14,IO_L31P_2,2,I/O,TRUE,V,18,14
V15,IO_L35P_2,2,I/O,TRUE,V,18,15
V16,IO_L42P_2,2,I/O,TRUE,V,18,16
V17,IO_L46N_2,2,I/O,TRUE,V,18,17
V18,IO_L08P_1,1,I/O,TRUE,V,18,18
V19,IO_L08N_1,1,I/O,TRUE,V,18,19
V20,SUSPEND,1,PWRMGMT,,V,18,20
V21,IO_L10P_1,1,I/O,TRUE,V,18,21
V22,IO_L18N_1,1,I/O,TRUE,V,18,22
V23,IO_L21P_1,1,I/O,TRUE,V,18,23
V24,IO_L19P_1,1,I/O,TRUE,V,18,24
V25,IO_L19N_1,1,I/O,TRUE,V,18,25
V26,IP_L20N_1/VREF_1,1,VREF,TRUE,V,18,26
W1,IP_L50P_3,3,INPUT,TRUE,W,19,1
W2,IP_L50N_3/VREF_3,3,VREF,TRUE,W,19,2
W3,IO_L52P_3,3,I/O,TRUE,W,19,3
W4,IO_L52N_3,3,I/O,TRUE,W,19,4
W5,VCCO_3,3,VCCO,,W,19,5
W6,IO_L63N_3,3,I/O,TRUE,W,19,6
W7,IO_L63P_3,3,I/O,TRUE,W,19,7
W8,GND,GND,GND,,W,19,8
W9,IO_L05P_2,2,I/O,TRUE,W,19,9
W10,IO_L09N_2,2,I/O,TRUE,W,19,10
W11,VCCO_2,2,VCCO,,W,19,11
W12,IO_L16N_2,2,I/O,TRUE,W,19,12
W13,IO_L20N_2,2,I/O,TRUE,W,19,13
W14,GND,GND,GND,,W,19,14
W15,IO_L31N_2,2,I/O,TRUE,W,19,15
W16,VCCO_2,2,VCCO,,W,19,16
W17,IO_L46P_2,2,I/O,TRUE,W,19,17
W18,IP_2,2,INPUT,,W,19,18
W19,GND,GND,GND,,W,19,19
W20,IO_L04P_1,1,I/O,TRUE,W,19,20
W21,IO_L04N_1,1,I/O,TRUE,W,19,21
W22,VCCO_1,1,VCCO,,W,19,22
W23,IO_L18P_1,1,I/O,TRUE,W,19,23
W24,GND,GND,GND,,W,19,24
W25,IP_L16P_1,1,INPUT,TRUE,W,19,25
W26,IP_L20P_1,1,INPUT,TRUE,W,19,26
Y1,IO_L53P_3,3,I/O,TRUE,Y,20,1
Y2,IO_L53N_3,3,I/O,TRUE,Y,20,2
Y3,IP_L54P_3,3,INPUT,TRUE,Y,20,3
Y4,IP_L54N_3,3,INPUT,TRUE,Y,20,4
Y5,IO_L57P_3,3,I/O,TRUE,Y,20,5
Y6,IO_L57N_3,3,I/O,TRUE,Y,20,6
Y7,IO_L02P_2/M2,2,DUAL,TRUE,Y,20,7
Y8,IP_2,2,INPUT,,Y,20,8
Y9,IO_L05N_2,2,I/O,TRUE,Y,20,9
Y10,IO_L12P_2,2,I/O,TRUE,Y,20,10
Y11,IP_2,2,INPUT,,Y,20,11
Y12,IO_L17P_2/RDWR_B,2,DUAL,TRUE,Y,20,12
Y13,IO_L25N_2/GCLK13,2,GCLK,TRUE,Y,20,13
Y14,IO_L27P_2/GCLK0,2,GCLK,TRUE,Y,20,14
Y15,IO_L34N_2/D3,2,DUAL,TRUE,Y,20,15
Y16,IP_2/VREF_2,2,VREF,,Y,20,16
Y17,IO_L43N_2,2,I/O,TRUE,Y,20,17
Y18,IP_2,2,INPUT,,Y,20,18
Y19,IP_2/VREF_2,2,VREF,,Y,20,19
Y20,IO_L01P_1/HDC,1,DUAL,TRUE,Y,20,20
Y21,IO_L01N_1/LDC2,1,DUAL,TRUE,Y,20,21
Y22,IO_L13P_1,1,I/O,TRUE,Y,20,22
Y23,IO_L13N_1,1,I/O,TRUE,Y,20,23
Y24,IO_L15P_1,1,I/O,TRUE,Y,20,24
Y25,IO_L15N_1,1,I/O,TRUE,Y,20,25
Y26,IP_L16N_1,1,INPUT,TRUE,Y,20,26
